property_id,source_agency,feed_date,sold_let_date,transaction_type,listing_status,address,area,borough,postcode,property_type,tenure,bedrooms,bathrooms,sqft,price,price_per_sqft,condition,epc_rating,heating_type,garden,parking,floor_level,days_on_market,agent_id,is_chain_free,longitude,latitude
CBR-20250107-001,CBRE Living,2025/01/07,,Rental,Sold,"63 Green Lane, Clapham, London SW4 7E4",Clapham,Lambeth,SW4 7E4,Terraced House,N/A,5,2,1604,2568,1.6,Needs Renovation,G,Gas Central,Yes,Permit Only,0,93,AGT-189,No,-0.487743,51.594886
CBR-20250107-002,CBRE Living,2025/01/07,,Rental,Active,"242 Park Lane, Brixton, London SW9 7N3",Brixton,Lambeth,SW9 7N3,Detached,N/A,2,3,1096,4427,4.04,New Build,D,Underfloor,Yes,No,0,142,AGT-831,Yes,-0.434094,51.531785
CBR-20250107-003,CBRE Living,2025/01/07,,Sale,Withdrawn,"205 The Avenue, Peckham, London SE15 9M6",Peckham,Southwark,SE15 9M6,Semi-Detached,Freehold,2,3,927,1677000,1809.06,Excellent,F,Underfloor,Yes,Permit Only,0,15,AGT-876,Yes,-0.001955,51.315164
CBR-20250107-004,CBRE Living,2025/01/07,,Sale,Under Offer,"187 High Street, Tottenham, London N17 4F7",Tottenham,Haringey,N17 4F7,Flat,Freehold,1,1,834,768000,920.86,Good,F,None,No,No,4,142,AGT-937,Yes,-0.390322,51.413258
CBR-20250107-005,CBRE Living,2025/01/07,2025-03-15,Sale,Active,"247 Park Lane, Islington, London N1 2K7",Islington,,N1 2K7,Detached,Freehold,1,1,3114,2164000,694.93,Good,D,Electric,No,No,0,67,AGT-118,No,-0.034033,51.488288
CBR-20250107-006,CBRE Living,2025/01/07,2025-06-14,Rental,Let Agreed,"31 London Road, Ealing, London W5 2K4",Ealing,Ealing,W5 2K4,Maisonette,N/A,1,1,2752,2214,0.8,Needs Renovation,E,None,No,Yes,1,158,AGT-410,Yes,-0.334423,51.556525
CBR-20250107-007,CBRE Living,2025/01/07,2025-01-13,Rental,Active,"139 King Street, Fulham, London SW6 2J9",Fulham,Hammersmith and Fulham,SW6 2J9,Detached,N/A,1,1,1450,6044,4.17,Needs Renovation,C,Heat Pump,Yes,No,0,6,AGT-469,No,-0.503992,51.605346
CBR-20250107-008,CBRE Living,2025/01/07,2025-05-06,Sale,Active,"237 Station Road, Walthamstow, London E17 5P9",Walthamstow,Waltham Forest,E17 5P9,Flat,Shared Ownership,4,1,1081,761000,703.98,New Build,G,None,Yes,Yes,8,119,AGT-352,Yes,0.062058,51.521651
CBR-20250107-009,CBRE Living,2025/01/07,2025-03-11,Rental,Sold,"232 Green Lane, Hackney, London E8 4N7",Hackney,Hackney,E8 4N7,Penthouse,N/A,1,2,1882,8553,4.54,Good,F,Underfloor,No,Yes,15,63,AGT-684,No,-0.162881,51.485443
CBR-20250107-010,CBRE Living,2025/01/07,2025-05-25,Sale,Active,"161 Station Road, Battersea, London SW11 1D5",Battersea,Wandsworth,SW11 1D5,Terraced House,Shared Ownership,5,1,1533,1033000,673.84,Fair,A,Underfloor,No,Yes,0,138,AGT-434,Yes,-0.25715,51.617225
CBR-20250107-011,CBRE Living,2025/01/07,2025-03-09,Sale,Active,"231 High Street, Stratford, London E15 9J6",Stratford,Newham,E15 9J6,Semi-Detached,Freehold,5,1,2260,675000,298.67,Fair,D,None,Yes,Permit Only,0,61,AGT-332,Yes,0.14602,51.477736
CBR-20250107-012,CBRE Living,2025/01/07,2025-02-21,Sale,Sold,"64 Park Lane, Ealing, London W5 7F8",Ealing,Ealing,W5 7F8,Terraced House,Leasehold,3,4,781,,898.85,Needs Renovation,G,Heat Pump,Yes,Yes,0,45,AGT-128,Yes,0.151924,51.510572
CBR-20250107-013,CBRE Living,2025/01/07,2025-03-28,Rental,Under Offer,"166 Church Road, Greenwich, London SE10 2E3",Greenwich,Greenwich,SE10 2E3,Detached,N/A,2,2,825,4451,5.4,Excellent,E,Electric,No,Permit Only,0,80,AGT-565,No,-0.385172,51.641759
CBR-20250107-014,CBRE Living,2025/01/07,,Sale,Sold,"193 Grove Road, Peckham, London SE15 7B2",Peckham,Southwark,SE15 7B2,Terraced House,Freehold,4,1,2054,1048000,510.22,New Build,E,Underfloor,No,Permit Only,0,24,AGT-300,Yes,0.320231,51.651884
CBR-20250107-015,CBRE Living,2025/01/07,2025-05-27,Rental,Under Offer,"234 Victoria Road, Wimbledon, London SW19 8K1",Wimbledon,Merton,SW19 8K1,Flat,N/A,2,3,1358,1865,1.37,Needs Renovation,B,Gas Central,No,No,19,140,AGT-359,No,0.172725,51.355679
