property_id,source_agency,feed_date,sold_let_date,transaction_type,listing_status,address,area,borough,postcode,property_type,tenure,bedrooms,bathrooms,sqft,price,price_per_sqft,condition,epc_rating,heating_type,garden,parking,floor_level,days_on_market,agent_id,is_chain_free,longitude,latitude
CSH-20250107-001,Cushman Wakefield,2025-01-07,,Sale,Withdrawn,"59 King Street, Peckham, London SE15 4L5",Peckham,Southwark,SE15 4L5,Semi-Detached,Shared Ownership,5,4,1041,1418000,1362.15,New Build,G,Gas Central,Yes,No,0,67,AGT-464,No,0.328205,51.636649
CSH-20250107-002,Cushman Wakefield,2025-01-07,,Sale,Under Offer,"224 Green Lane, Peckham, London SE15 1D7",Peckham,Southwark,SE15 1D7,Penthouse,Leasehold,3,1,0,2251000,893.25,Good,B,None,No,Permit Only,4,180,AGT-510,No,-0.274221,51.620746
CSH-20250107-003,Cushman Wakefield,2025-01-07,,Rental,Withdrawn,"16 Grove Road, Tottenham, London N17 3F2",Tottenham,Haringey,N17 3F2,Studio,N/A,5,4,396,1420,3.59,New Build,C,None,No,Permit Only,20,19,AGT-490,Yes,-0.394872,51.494875
CSH-20250107-004,Cushman Wakefield,2025-01-07,,Sale,Let Agreed,"218 Park Lane, Wimbledon, London SW19 2K6",Wimbledon,Merton,SW19 2K6,Semi-Detached,Freehold,2,2,2413,3067000,1271.03,New Build,E,None,No,Permit Only,0,9,AGT-365,Yes,0.256185,51.651935
CSH-20250107-005,Cushman Wakefield,2025-01-07,,Rental,Under Offer,"69 Park Lane, Bermondsey, London SE1 7J4",Bermondsey,Southwark,SE1 7J4,Maisonette,N/A,5,1,-200,2920,1.39,Needs Renovation,D,Gas Central,Yes,No,16,122,AGT-162,No,-0.399287,51.305785
CSH-20250107-006,Cushman Wakefield,2025-01-07,,Sale,Let Agreed,"142 Victoria Road, Greenwich, London SE10 7J7",Greenwich,Greenwich,SE10 7J7,Terraced House,Shared Ownership,4,2,703,2194000,3120.91,Excellent,A,Electric,No,No,0,151,AGT-919,Yes,-0.265132,51.683985
CSH-20250107-007,Cushman Wakefield,2025-01-07,2025-04-25,Sale,Sold,"78 Victoria Road, Tottenham, London N17 4G4",Tottenham,Haringey,N17 4G4,Bungalow,Leasehold,2,3,1631,3154000,1933.78,Excellent,C,Heat Pump,Yes,No,0,108,AGT-570,No,-0.257654,51.496582
CSH-20250107-008,Cushman Wakefield,2025-01-07,2025-02-10,Sale,Active,"98 Victoria Road, Islington, London N1 6P5",Islington,Islington,N1 6P5,Maisonette,Shared Ownership,2,2,1255,2260000,1800.8,Needs Renovation,G,Gas Central,No,No,8,34,AGT-801,No,-0.379418,51.414923
CSH-20250107-009,Cushman Wakefield,2025-01-07,2025-05-06,Rental,Let Agreed,"113 Church Road, Croydon, London CR0 6L6",Croydon,Croydon,CR0 6L6,Terraced House,N/A,1,2,2903,2753,0.95,Needs Renovation,E,Electric,Yes,Yes,0,119,AGT-634,Yes,0.233461,51.536318
CSH-20250107-010,Cushman Wakefield,2025-01-07,2025-02-26,Rental,Withdrawn,"183 Green Lane, Notting Hill, London W11 1F7",Notting Hill,Kensington and Chelsea,W11 1F7,Maisonette,N/A,5,3,2842,2663,0.94,Needs Renovation,C,Underfloor,Yes,Yes,20,50,AGT-500,Yes,-0.244422,51.507808
