property_id,source_agency,feed_date,sold_let_date,transaction_type,listing_status,address,area,borough,postcode,property_type,tenure,bedrooms,bathrooms,sqft,price,price_per_sqft,condition,epc_rating,heating_type,garden,parking,floor_level,days_on_market,agent_id,is_chain_free,longitude,latitude
FOX-20250106-001,Foxtons,06/01/2025,2025-01-22,Sale,Withdrawn,"239 Grove Road, Stratford, London E15 4C2",Stratford,Newham,E15 4C2,Penthouse,Freehold,4,4,1637,1668000,1018.94,New Build,B,None,Yes,Yes,7,16,AGT-889,No,-0.493011,51.57621
FOX-20250106-002,Foxtons,06/01/2025,,Sale,Sold,"48 Green Lane, Canary Wharf, London E14 9N1",Canary Wharf,Tower Hamlets,E14 9N1,Detached,Leasehold,2,1,2821,-813000,288.2,Good,C,Electric,No,Yes,0,55,AGT-761,No,-0.422068,51.524323
FOX-20250106-003,Foxtons,06/01/2025,2025-05-07,Rental,Active,"202 Green Lane, Hackney, London E8 6L5",Hackney,Hackney,E8 6L5,Bungalow,N/A,3,3,,3841,3.45,Fair,A,Underfloor,Yes,No,0,121,AGT-210,Yes,0.289698,51.578928
FOX-20250106-004,Foxtons,06/01/2025,2025-03-17,Rental,Under Offer,"100 Park Lane, Shoreditch, London E1 6M5",Shoreditch,Hackney,E1 6M5,Semi-Detached,N/A,3,3,2764,3420,1.24,Good,G,None,Yes,Yes,0,70,AGT-784,No,-0.449468,51.314257
FOX-20250106-005,Foxtons,06/01/2025,2025-05-28,Rental,Active,"102 Park Lane, Stratford, London E15 5N9",Stratford,Newham,E15 5N9,Bungalow,N/A,2,1,570,4063,7.13,Good,C,Electric,No,No,0,142,AGT-609,Yes,-0.367646,51.578265
FOX-20250106-006,Foxtons,06/01/2025,2025-02-13,Sale,Under Offer,"167 Station Road, Shoreditch, London E1 1C5",Shoreditch,Hackney,E1 1C5,Flat,Leasehold,1,2,1798,452000,251.39,Excellent,A,Electric,No,No,3,38,AGT-944,Yes,0.168063,51.353907
FOX-20250106-007,Foxtons,06/01/2025,2025-03-07,Rental,Under Offer,"117 King Street, Hackney, London E8 4G9",Hackney,Hackney,E8 4G9,Maisonette,N/A,4,3,922,3355,3.64,Fair,B,Underfloor,Yes,Permit Only,6,60,AGT-995,No,0.30613,51.60966
FOX-20250106-008,Foxtons,06/01/2025,,Sale,Active,"44 High Street, Ealing, London W5 1B2",Ealing,Ealing,W5 1B2,Flat,Freehold,1,1,1464,596000,407.1,New Build,A,Gas Central,No,No,11,112,AGT-278,No,-0.186258,51.299701
FOX-20250106-009,Foxtons,06/01/2025,2025-06-24,Rental,Active,"164 Victoria Road, Hackney, London E8 5K1",Hackney,Hackney,E8 5K1,Penthouse,N/A,1,2,1063,7619,7.17,Needs Renovation,E,Underfloor,Yes,Permit Only,14,169,AGT-213,No,0.212371,51.454856
FOX-20250106-010,Foxtons,06/01/2025,,Rental,Under Offer,"151 King Street, Canary Wharf, London E14 7P2",Canary Wharf,Tower Hamlets,E14 7P2,Semi-Detached,N/A,1,1,1176,3041,2.59,Excellent,G,None,Yes,Permit Only,0,161,AGT-731,No,0.0598,51.470578
