property_id,source_agency,feed_date,sold_let_date,transaction_type,listing_status,address,area,borough,postcode,property_type,tenure,bedrooms,bathrooms,sqft,price,price_per_sqft,condition,epc_rating,heating_type,garden,parking,floor_level,days_on_market,agent_id,is_chain_free,longitude,latitude
HAM-20250107-001,Hamptons,2025-01-07,2025-05-28,Rental,Withdrawn,"160 Park Lane, Walthamstow, London E17 3N2",Walthamstow,Waltham Forest,E17 3N2,Terraced House,N/A,1,2,1158,2766,2.39,New Build,C,Electric,Yes,Permit Only,0,141,AGT-349,No,0.277304,51.695941
HAM-20250107-002,Hamptons,2025-01-07,2025-04-11,Rental,Sold,"169 High Street, Peckham, London SE15 8J7",Peckham,Southwark,SE15 8J7,Studio,N/A,2,2,1670,1655,0.99,Needs Renovation,C,None,No,Permit Only,15,94,AGT-302,Yes,-0.324925,51.652657
HAM-20250107-003,Hamptons,2025-01-07,2025-06-24,Sale,Let Agreed,"174 Green Lane, Peckham, London SE15 6A5",Peckham,Southwark,SE15 6A5,Semi-Detached,Shared Ownership,1,1,2973,1002000,337.03,New Build,B,None,No,Permit Only,0,168,AGT-861,Yes,-0.178742,51.342177
HAM-20250107-004,Hamptons,2025-01-07,2025-05-31,Sale,Withdrawn,"245 Green Lane, Peckham, London SE15 8L1",Peckham,Southwark,SE15 8L1,Bungalow,Freehold,2,3,2007,673000,335.33,Needs Renovation,F,Heat Pump,Yes,No,0,144,AGT-175,No,0.329545,51.413233
HAM-20250107-005,Hamptons,2025-01-07,2025-04-29,Rental,Active,"167 Park Lane, Croydon, London CR0 2B5",Croydon,Croydon,CR0 2B5,Studio,N/A,3,1,463,1265,2.73,Needs Renovation,C,Underfloor,No,Yes,13,112,AGT-977,Yes,-0.239611,51.334462
HAM-20250107-006,Hamptons,2025-01-07,2025-04-26,Rental,Withdrawn,"28 High Street, Brixton, London SW9 9K4",Brixton,Lambeth,SW9 9K4,Bungalow,N/A,2,1,741,2808,3.79,Needs Renovation,A,None,Yes,No,0,109,AGT-716,No,-0.072232,51.307417
HAM-20250107-007,Hamptons,2025-01-07,2025-01-31,Rental,Withdrawn,"243 Green Lane, Walthamstow, London E17 4G6",Walthamstow,Waltham Forest,E17 4G6,Studio,N/A,2,3,835,1206,1.44,Needs Renovation,E,None,Yes,No,7,24,AGT-390,Yes,-0.177729,51.599525
HAM-20250107-008,Hamptons,2025-01-07,2025-05-30,Sale,Withdrawn,"129 The Avenue, Fulham, London SW6 4P4",Fulham,Hammersmith and Fulham,SW6 4P4,Terraced House,Leasehold,5,3,1458,534000,366.26,Good,B,None,No,No,0,143,AGT-130,Yes,-0.421509,51.662914
HAM-20250107-009,Hamptons,2025-01-07,2025-02-23,Sale,Sold,"7 Church Road, Shoreditch, London E1 3D6",Shoreditch,Hackney,E1 3D6,Semi-Detached,Leasehold,4,4,793,1029000,1297.6,Excellent,F,Electric,No,Yes,0,47,AGT-264,Yes,0.068626,51.609297
HAM-20250107-010,Hamptons,2025-01-07,2025-05-29,Sale,Sold,"91 High Street, Stratford, London E15 8K2",Stratford,Newham,E15 8K2,Studio,Freehold,3,1,817,263000,321.91,Good,F,Underfloor,No,No,0,142,AGT-726,No,-0.182034,51.323276
HAM-20250107-011,Hamptons,2025-01-07,2025-05-19,Sale,Under Offer,"143 High Street, Peckham, London SE15 1G4",Peckham,Southwark,SE15 1G4,Semi-Detached,Shared Ownership,3,4,587,984000,1676.32,New Build,E,Underfloor,No,Permit Only,0,132,AGT-661,No,-0.466815,51.289855
HAM-20250107-012,Hamptons,2025-01-07,,Rental,Active,"77 Station Road, Brixton, London SW9 1D6",Brixton,Lambeth,SW9 1D6,Semi-Detached,N/A,2,3,1573,3588,2.28,Good,F,Gas Central,No,No,0,48,AGT-419,Yes,-0.318602,51.654591
