property_id,source_agency,feed_date,sold_let_date,transaction_type,listing_status,address,area,borough,postcode,property_type,tenure,bedrooms,bathrooms,sqft,price,price_per_sqft,condition,epc_rating,heating_type,garden,parking,floor_level,days_on_market,agent_id,is_chain_free,longitude,latitude
KNF-20250107-001,Knight Frank,2025-01-07,,Sale,Active,"130 Victoria Road, Islington, London N1 1F2",Islington,Islington,N1 1F2,Maisonette,Leasehold,1,2,2065,1592000,770.94,Excellent,F,Gas Central,Yes,Yes,4,24,AGT-709,No,-0.063348,51.546483
KNF-20250107-002,Knight Frank,2025-01-07,2025-03-24,Rental,Sold,"76 King Street, Richmond, London TW9 4H9",Richmond,Richmond upon Thames,TW9 4H9,Studio,N/A,4,4,2263,1777,0.79,Fair,A,Underfloor,No,No,9,76,AGT-758,Yes,0.201336,51.414905
KNF-20250107-003,Knight Frank,2025-01-07,2025-06-03,Sale,Active,"185 Park Lane, Clapham, London SW4 8F3",Clapham,Lambeth,SW4 8F3,Semi-Detached,Leasehold,3,2,1215,2191000,1803.29,Good,,None,No,Permit Only,0,147,AGT-429,Yes,-0.216471,51.602442
KNF-20250107-004,Knight Frank,2025-01-07,,Rental,Withdrawn,"56 Green Lane, Shoreditch, London E1 7D7",Shoreditch,Hackney,E1 7D7,Terraced House,N/A,2,1,0,3096,1.47,Needs Renovation,G,Gas Central,Yes,Yes,0,76,AGT-132,Yes,-0.110938,51.499229
KNF-20250107-005,Knight Frank,2025-01-07,2025-06-28,Rental,Sold,"165 London Road, Tottenham, London N17 2F2",Tottenham,Haringey,N17 2F2,Studio,N/A,2,1,880,1787,2.03,Excellent,F,Heat Pump,Yes,Permit Only,18,172,AGT-164,Yes,-0.198043,51.414059
KNF-20250107-006,Knight Frank,2025-01-07,2025-05-13,Rental,Withdrawn,"206 Park Lane, Brixton, London SW9 3L7",Brixton,Lambeth,SW9 3L7,Semi-Detached,N/A,2,2,1730,3883,2.24,Fair,A,None,Yes,Yes,0,126,AGT-874,No,-0.313942,51.338933
KNF-20250107-007,Knight Frank,2025-01-07,,Rental,Sold,"157 The Avenue, Canary Wharf, London E14 4K5",Canary Wharf,Tower Hamlets,E14 4K5,Studio,N/A,1,1,1761,1856,1.05,Excellent,B,Heat Pump,Yes,No,9,177,AGT-330,No,-0.314608,51.49873
KNF-20250107-008,Knight Frank,2025-01-07,,Rental,Let Agreed,"179 Church Road, Notting Hill, London W11 1E9",Notting Hill,Kensington and Chelsea,W11 1E9,Flat,N/A,5,3,867,2077,2.4,Needs Renovation,F,Gas Central,Yes,Yes,0,33,AGT-943,No,0.012635,51.379653
KNF-20250107-009,Knight Frank,2025-01-07,,Sale,Sold,"156 Grove Road, Richmond, London TW9 1F6",Richmond,Richmond upon Thames,TW9 1F6,Bungalow,Freehold,3,2,887,1412000,1591.88,Fair,C,None,Yes,Permit Only,0,171,AGT-213,Yes,-0.232778,51.654709
KNF-20250107-010,Knight Frank,2025-01-07,2025-02-18,Sale,Sold,"74 The Avenue, Ealing, London W5 2P4",Ealing,Ealing,W5 2P4,Penthouse,Shared Ownership,4,1,2770,1792000,646.93,Needs Renovation,F,None,No,Yes,10,42,AGT-313,Yes,-0.442468,51.649365
KNF-20250107-011,Knight Frank,2025-01-07,2025-05-15,Rental,Under Offer,"171 Park Lane, Tottenham, London N17 3K8",Tottenham,Haringey,N17 3K8,Penthouse,N/A,2,2,2658,6186,2.33,Good,G,Gas Central,Yes,No,2,128,AGT-245,Yes,-0.161043,51.400682
KNF-20250107-012,Knight Frank,2025-01-07,,Sale,Active,"231 Grove Road, Shoreditch, London E1 7N5",Shoreditch,Hackney,E1 7N5,Bungalow,Freehold,2,1,622,2968000,4771.7,Excellent,D,Electric,No,Yes,0,9,AGT-787,Yes,0.278467,51.426833
KNF-20250107-013,Knight Frank,2025-01-07,2025-02-22,Rental,Sold,"126 Green Lane, Canary Wharf, London E14 8B1",Canary Wharf,Tower Hamlets,E14 8B1,Maisonette,N/A,1,2,1816,2620,1.44,Good,A,Underfloor,Yes,Permit Only,9,46,AGT-318,Yes,0.136991,51.668725
