property_id,source_agency,feed_date,sold_let_date,transaction_type,listing_status,address,area,borough,postcode,property_type,tenure,bedrooms,bathrooms,sqft,price,price_per_sqft,condition,epc_rating,heating_type,garden,parking,floor_level,days_on_market,agent_id,is_chain_free,longitude,latitude
PUR-20250107-001,Purplebricks,07-01-2025,,Sale,Withdrawn,"20 Green Lane, Bethnal Green, London E2 9K4",Bethnal Green,Tower Hamlets,E2 9K4,Semi-Detached,Leasehold,2,1,2491,444000,178.24,Good,G,Underfloor,Yes,Yes,0,76,AGT-285,Yes,-0.468892,51.386236
PUR-20250107-002,Purplebricks,07-01-2025,2025-06-10,Sale,Active,"213 Park Lane, Ealing, London W5 8L9",Ealing,Ealing,W5 8L9,Flat,Shared Ownership,5,3,1640,319000,194.51,Good,B,None,Yes,Yes,15,154,AGT-333,Yes,-0.335336,51.313221
PUR-20250107-003,Purplebricks,07-01-2025,2025-02-06,Rental,Let Agreed,"152 Church Road, Bethnal Green, London E2 4A1",Bethnal Green,Tower Hamlets,E2 4A1,Penthouse,N/A,2,2,1728,7031,4.07,Excellent,E,Heat Pump,No,Permit Only,12,30,AGT-459,No,-0.14017,51.459371
PUR-20250107-004,Purplebricks,07-01-2025,2025-04-17,Rental,Active,"55 The Avenue, Croydon, London CR0 4L5",Croydon,Croydon,CR0 4L5,Semi-Detached,N/A,3,3,2424,3791,1.56,Needs Renovation,D,Heat Pump,Yes,Yes,0,100,AGT-242,Yes,-0.056247,51.438788
PUR-20250107-005,Purplebricks,07-01-2025,2025-04-09,Rental,Let Agreed,"143 Park Lane, Bethnal Green, London E2 3N2",Bethnal Green,Tower Hamlets,E2 3N2,Maisonette,N/A,1,2,2615,3358,1.28,Good,B,None,No,No,7,92,AGT-801,No,-0.449751,51.64418
PUR-20250107-006,Purplebricks,07-01-2025,,Rental,Withdrawn,"99 Grove Road, Croydon, London CR0 9J2",Croydon,Croydon,CR0 9J2,Bungalow,N/A,2,2,378,2709,7.17,Needs Renovation,A,Underfloor,Yes,No,0,179,AGT-527,Yes,-0.013197,51.28718
PUR-20250107-007,Purplebricks,07-01-2025,2025-06-22,Sale,Let Agreed,"103 Grove Road, Bethnal Green, London E2 9E6",Bethnal Green,Tower Hamlets,E2 9E6,Semi-Detached,Shared Ownership,3,4,611,597000,977.09,Fair,G,Heat Pump,No,Yes,0,166,AGT-874,No,-0.144722,51.343087
PUR-20250107-008,Purplebricks,07-01-2025,2025-01-10,Rental,Sold,"78 Church Road, Clapham, London SW4 5G2",Clapham,Lambeth,SW4 5G2,Detached,N/A,5,3,2149,4427,2.06,Fair,C,Electric,Yes,No,0,3,AGT-795,No,0.078031,51.637334
PUR-20250107-009,Purplebricks,07-01-2025,2025-03-28,Rental,Active,"41 The Avenue, Wimbledon, London SW19 7F4",Wimbledon,Merton,SW19 7F4,Semi-Detached,N/A,3,1,1645,3304,2.01,Fair,C,None,Yes,Permit Only,0,80,AGT-791,No,-0.497705,51.348761
PUR-20250107-010,Purplebricks,07-01-2025,2025-03-14,Rental,Withdrawn,"42 High Street, Shoreditch, London E1 2H6",Shoreditch,Hackney,E1 2H6,Flat,N/A,3,3,2048,2260,1.1,Needs Renovation,C,Heat Pump,No,Yes,11,66,AGT-270,Yes,0.046853,51.587229
PUR-20250107-011,Purplebricks,07-01-2025,2025-02-10,Rental,Under Offer,"216 High Street, Richmond, London TW9 9N8",Richmond,Richmond upon Thames,TW9 9N8,Detached,N/A,5,1,2575,4084,1.59,Needs Renovation,F,Underfloor,No,Permit Only,0,34,AGT-355,No,0.152197,51.574169
PUR-20250107-012,Purplebricks,07-01-2025,,Sale,Under Offer,"62 Station Road, Bethnal Green, London E2 5E9",Bethnal Green,Tower Hamlets,E2 5E9,Flat,Shared Ownership,3,3,1658,276000,166.47,New Build,F,Underfloor,Yes,Permit Only,16,138,AGT-784,Yes,-0.013679,51.680802
PUR-20250107-013,Purplebricks,07-01-2025,2025-05-07,Rental,Sold,"116 High Street, Stratford, London E15 8M1",Stratford,Newham,E15 8M1,Maisonette,N/A,4,3,1731,-2779,1.61,New Build,E,Gas Central,No,Permit Only,4,120,AGT-985,No,-0.418768,51.335575
PUR-20250107-014,Purplebricks,07-01-2025,,Rental,Let Agreed,"214 Grove Road, Walthamstow, London E17 1P5",Walthamstow,Waltham Forest,E17 1P5,Detached,N/A,4,1,1117,4606,4.12,Fair,F,Electric,No,Permit Only,0,87,AGT-448,No,0.098671,51.656437
PUR-20250107-015,Purplebricks,07-01-2025,2025-06-06,Sale,Let Agreed,"79 Park Lane, Brixton, London SW9 9M1",Brixton,Lambeth,SW9 9M1,Bungalow,Freehold,4,3,2710,537000,198.15,Needs Renovation,B,Gas Central,Yes,Permit Only,0,150,AGT-769,Yes,0.292007,51.309072
