property_id,source_agency,feed_date,sold_let_date,transaction_type,listing_status,address,area,borough,postcode,property_type,tenure,bedrooms,bathrooms,sqft,price,price_per_sqft,condition,epc_rating,heating_type,garden,parking,floor_level,days_on_market,agent_id,is_chain_free,longitude,latitude
RMP-20250106-001,Rightmove Partners,2025-01-06,2025-06-19,Rental,Under Offer,"91 Station Road, Croydon, London CR0 8N3",Croydon,Croydon,CR0 8N3,Terraced House,N/A,5,2,-200,3962,8.77,Excellent,E,Heat Pump,No,Permit Only,0,164,AGT-969,No,-0.287102,51.578187
RMP-20250106-002,Rightmove Partners,2025-01-06,2025-07-04,Rental,Sold,"88 Grove Road, Fulham, London SW6 5J4",Fulham,Hammersmith and Fulham,SW6 5J4,Terraced House,N/A,1,2,2720,3750,1.38,Good,G,Gas Central,No,Permit Only,0,179,AGT-456,Yes,0.275566,51.416678
RMP-20250106-003,Rightmove Partners,2025-01-06,2025-01-07,Sale,Let Agreed,"194 Station Road, Notting Hill, London W11 8E8",Notting Hill,Kensington and Chelsea,W11 8E8,Detached,Leasehold,3,3,1783,486000,272.57,Needs Renovation,E,Gas Central,No,Yes,0,1,AGT-862,No,-0.402172,51.535951
RMP-20250106-004,Rightmove Partners,2025-01-06,,Rental,Sold,"124 The Avenue, Hackney, London E8 8F9",Hackney,Hackney,E8 8F9,Semi-Detached,N/A,4,4,1190,4188,3.52,Excellent,C,Underfloor,No,Permit Only,0,30,AGT-328,Yes,0.274633,51.625386
RMP-20250106-005,Rightmove Partners,2025-01-06,2025-02-05,Rental,Sold,"240 Station Road, Canary Wharf, London E14 5N7",Canary Wharf,Tower Hamlets,E14 5N7,Detached,N/A,1,1,443,4031,9.1,Excellent,G,Heat Pump,Yes,No,0,30,AGT-146,No,0.073922,51.315545
RMP-20250106-006,Rightmove Partners,2025-01-06,,Sale,Let Agreed,"72 Station Road, Croydon, London CR0 3H8",Croydon,Croydon,CR0 3H8,Maisonette,Freehold,2,1,1028,211000,205.25,Needs Renovation,G,None,Yes,No,14,81,AGT-840,No,0.11034,51.618743
RMP-20250106-007,Rightmove Partners,2025-01-06,2025-02-22,Sale,Under Offer,"243 Victoria Road, Bethnal Green, London E2 1B6",Bethnal Green,Tower Hamlets,E2 1B6,Detached,Shared Ownership,2,3,2045,684000,334.47,Needs Renovation,F,Underfloor,Yes,No,0,47,AGT-787,Yes,-0.348869,51.534818
RMP-20250106-008,Rightmove Partners,2025-01-06,2025-06-21,Rental,Let Agreed,"236 Church Road, Richmond, London TW9 9B2",Richmond,Richmond upon Thames,TW9 9B2,Penthouse,N/A,2,3,99999,6037,3.95,Good,A,Gas Central,No,Permit Only,12,166,AGT-513,Yes,-0.36939,51.324109
RMP-20250106-009,Rightmove Partners,2025-01-06,,Sale,Active,"26 The Avenue, Wimbledon, London SW19 6M9",Wimbledon,,SW19 6M9,Semi-Detached,Leasehold,2,1,1500,295000,196.67,Excellent,C,Electric,No,Yes,0,158,AGT-153,Yes,0.111194,51.357063
RMP-20250106-010,Rightmove Partners,2025-01-06,2025-04-22,Rental,Under Offer,"216 Victoria Road, Notting Hill, London W11 4E6",Notting Hill,Kensington and Chelsea,W11 4E6,Terraced House,N/A,5,2,2559,2920,1.14,Excellent,A,Gas Central,Yes,Permit Only,0,106,AGT-102,No,0.251662,51.319815
RMP-20250106-011,Rightmove Partners,2025-01-06,2025-05-19,Sale,Sold,"145 Victoria Road, Shoreditch, London E1 2N9",Shoreditch,Hackney,E1 2N9,Studio,Freehold,5,3,886,232000,261.85,Fair,F,None,Yes,Permit Only,20,133,AGT-937,No,0.007163,51.391492
RMP-20250106-012,Rightmove Partners,2025-01-06,2025-03-15,Rental,Sold,"241 Victoria Road, Wimbledon, London SW19 6D9",Wimbledon,Merton,SW19 6D9,Semi-Detached,N/A,3,1,2371,4068,1.72,Needs Renovation,G,Electric,Yes,Permit Only,0,68,AGT-346,Yes,0.11614,51.619202
RMP-20250106-013,Rightmove Partners,2025-01-06,2025-05-27,Rental,Withdrawn,"232 Park Lane, Peckham, London SE15 8F4",Peckham,Southwark,SE15 8F4,Flat,N/A,5,1,1317,2153,1.63,Needs Renovation,C,Heat Pump,No,Permit Only,6,141,AGT-642,No,-0.28036,51.423574
RMP-20250106-014,Rightmove Partners,2025-01-06,2025-02-22,Sale,Let Agreed,"62 Station Road, Tottenham, London N17 2D7",Tottenham,Haringey,N17 2D7,Studio,Leasehold,1,2,2273,144000,63.35,Fair,B,Gas Central,No,Yes,1,47,AGT-326,Yes,-0.314543,51.317487
