property_id,source_agency,feed_date,sold_let_date,transaction_type,listing_status,address,area,borough,postcode,property_type,tenure,bedrooms,bathrooms,sqft,price,price_per_sqft,condition,epc_rating,heating_type,garden,parking,floor_level,days_on_market,agent_id,is_chain_free,longitude,latitude
SAV-20250106-001,Savills,2025-01-06,2025-04-15,Sale,Let Agreed,"23 The Avenue, Tottenham, London N17 9L9",Tottenham,Haringey,N17 9L9,Semi-Detached,Shared Ownership,2,1,704,2224000,3159.09,Needs Renovation,E,Electric,No,No,0,99,AGT-982,Yes,-0.382088,51.557439
SAV-20250106-002,Savills,2025-01-06,2025-03-16,Sale,Withdrawn,"53 Station Road, Wimbledon, London SW19 9A7",Wimbledon,Merton,SW19 9A7,Terraced House,Freehold,4,3,1999,978000,489.24,Fair,E,Electric,No,Yes,0,69,AGT-466,Yes,-0.328708,51.666721
SAV-20250106-003,Savills,2025-01-06,,Sale,Withdrawn,"162 Church Road, Battersea, London SW11 7B7",Battersea,Wandsworth,SW11 7B7,Semi-Detached,Freehold,1,1,445,1821000,4092.13,Fair,C,Electric,No,Yes,0,122,AGT-906,Yes,0.027964,51.466049
SAV-20250106-004,Savills,2025-01-06,,Rental,Under Offer,"31 Park Lane, Islington, London N1 7B2",Islington,Islington,N1 7B2,Maisonette,N/A,1,1,2806,3068,1.09,Fair,B,Electric,No,No,7,39,AGT-966,No,-0.411541,51.625386
SAV-20250106-005,Savills,2025-01-06,2025-04-13,Sale,Withdrawn,"99 London Road, Brixton, London SW9 7F7",Brixton,Lambeth,SW9 7F7,Studio,Freehold,4,1,1732,853000,492.49,Excellent,A,Underfloor,No,No,7,97,AGT-418,Yes,0.038825,51.410476
SAV-20250106-006,Savills,2025-01-06,2025-04-29,Sale,Sold,"129 King Street, Wimbledon, London SW19 7E2",Wimbledon,Merton,SW19 7E2,Detached,Leasehold,4,3,2144,1817000,847.48,Needs Renovation,B,Underfloor,No,No,0,113,AGT-519,Yes,-0.272876,51.564862
SAV-20250106-007,Savills,2025-01-06,2025-01-08,Sale,Under Offer,"247 Victoria Road, Tottenham, London N17 6M5",Tottenham,Haringey,N17 6M5,Penthouse,Shared Ownership,4,3,1159,4497000,3880.07,Good,F,Heat Pump,Yes,No,11,2,AGT-772,No,-0.506961,51.490696
SAV-20250106-008,Savills,2025-01-06,2025-04-23,Sale,Withdrawn,"161 The Avenue, Bermondsey, London SE1 8J9",Bermondsey,Southwark,SE1 8J9,Studio,Leasehold,4,4,1190,953000,800.84,Excellent,F,Gas Central,Yes,No,2,107,AGT-694,Yes,0.297356,51.455045
SAV-20250106-009,Savills,2025-01-06,2025-03-15,Sale,Let Agreed,"225 Park Lane, Ealing, London W5 8F3",Ealing,Ealing,W5 8F3,Studio,Leasehold,0,1,1982,761000,383.96,Needs Renovation,F,Electric,No,No,6,68,AGT-380,No,-0.028963,51.653701
SAV-20250106-010,Savills,2025-01-06,2025-01-10,Sale,Active,"19 Station Road, Walthamstow, London E17 2F8",Walthamstow,Waltham Forest,E17 2F8,Penthouse,Shared Ownership,1,1,2233,5988000,2681.59,Needs Renovation,C,Gas Central,No,No,8,4,AGT-269,Yes,-0.01596,51.299945
SAV-20250106-011,Savills,2025-01-06,,Rental,Sold,"30 Green Lane, Wimbledon, London SW19 4N4",Wimbledon,Merton,SW19 4N4,Detached,N/A,2,2,585,,9.69,Good,A,None,Yes,Permit Only,0,107,AGT-277,No,0.038183,51.622385
SAV-20250106-012,Savills,2025-01-06,2025-05-18,Sale,Withdrawn,"223 Victoria Road, Notting Hill, London W11 7C6",Notting Hill,Kensington and Chelsea,W11 7C6,Semi-Detached,Freehold,2,3,704,1126000,1599.43,Good,G,Gas Central,No,Permit Only,0,132,AGT-546,Yes,-0.251729,51.590317
SAV-20250106-013,Savills,2025-01-06,2025-06-10,Sale,Sold,"225 Park Lane, Bermondsey, London SE1 2P3",Bermondsey,Southwark,SE1 2P3,Flat,Leasehold,4,1,1314,1863000,1417.81,Good,E,Gas Central,No,Yes,9,155,AGT-262,Yes,0.282661,51.650002
SAV-20250106-014,Savills,2025-01-06,2025-04-07,Sale,Active,"217 Station Road, Bethnal Green, London E2 3K6",Bethnal Green,Tower Hamlets,E2 3K6,Studio,Leasehold,3,4,646,484000,749.23,Good,E,Electric,Yes,Permit Only,0,91,AGT-882,No,0.110717,51.456022
SAV-20250106-015,Savills,2025-01-06,2025-02-17,Rental,Under Offer,"145 High Street, Peckham, London SE15 2G1",Peckham,Southwark,SE15 2G1,Semi-Detached,N/A,1,1,1340,3980,2.97,Excellent,F,Underfloor,Yes,No,0,42,AGT-287,No,-0.384969,51.67172
SAV-20250106-016,Savills,2025-01-06,,Sale,Withdrawn,"95 Grove Road, Croydon, London CR0 3H2",Croydon,Croydon,CR0 3H2,Penthouse,Leasehold,,3,1305,4463000,3419.92,Excellent,F,Gas Central,No,Permit Only,6,112,AGT-919,Yes,-0.396924,51.590024
SAV-20250106-017,Savills,2025-01-06,,Sale,Sold,"144 Church Road, Fulham, London SW6 7G9",Fulham,Hammersmith and Fulham,SW6 7G9,Semi-Detached,Shared Ownership,2,1,2498,2101000,841.07,Good,D,Electric,Yes,Permit Only,0,176,AGT-130,Yes,-0.143123,51.41238
SAV-20250106-018,Savills,2025-01-06,,Rental,Sold,"89 London Road, Bethnal Green, London E2 6B3",Bethnal Green,Tower Hamlets,E2 6B3,Semi-Detached,N/A,3,1,2714,3767,1.39,Needs Renovation,C,Electric,No,Yes,0,51,AGT-127,No,-0.315456,51.535472
