property_id,source_agency,feed_date,sold_let_date,transaction_type,listing_status,address,area,borough,postcode,property_type,tenure,bedrooms,bathrooms,sqft,price,price_per_sqft,condition,epc_rating,heating_type,garden,parking,floor_level,days_on_market,agent_id,is_chain_free,longitude,latitude
STP-20250106-001,Strutt Parker,06 Jan 2025,2025-05-25,Rental,Active,"151 King Street, Battersea, London SW11 1P9",Battersea,Wandsworth,SW11 1P9,Semi-Detached,N/A,3,4,3033,3842,1.27,New Build,A,None,No,Permit Only,0,139,AGT-577,No,-0.108063,51.369279
STP-20250106-002,Strutt Parker,06 Jan 2025,2025-07-04,Rental,Let Agreed,"64 London Road, Brixton, London SW9 2A3",Brixton,Lambeth,SW9 2A3,Semi-Detached,N/A,2,3,2865,4174,1.46,Excellent,A,Gas Central,No,No,0,179,AGT-764,Yes,0.113006,51.37896
STP-20250106-003,Strutt Parker,06 Jan 2025,2025-05-14,Rental,Let Agreed,"46 Park Lane, Croydon, London CR0 2G5",Croydon,Croydon,CR0 2G5,Maisonette,N/A,5,3,2231,2246,1.01,Good,A,Heat Pump,No,Yes,12,128,AGT-327,No,-0.141985,51.356598
STP-20250106-004,Strutt Parker,06 Jan 2025,,Sale,Withdrawn,"175 Station Road, Islington, London N1 3P3",Islington,Islington,N1 3P3,Penthouse,Shared Ownership,4,1,1029,-3390000,3294.46,Fair,B,Underfloor,Yes,Permit Only,14,3,AGT-204,No,0.043817,51.610587
STP-20250106-005,Strutt Parker,06 Jan 2025,2025-03-11,Rental,Under Offer,"65 King Street, Hackney, London E8 9L5",Hackney,Hackney,E8 9L5,Detached,N/A,3,2,3091,4094,1.32,Fair,C,Heat Pump,No,Yes,0,64,AGT-733,No,0.08739,51.377145
STP-20250106-006,Strutt Parker,06 Jan 2025,2025-02-04,Rental,Withdrawn,"30 Green Lane, Islington, London N1 5P5",Islington,,N1 5P5,Detached,N/A,2,2,518,5557,10.73,Excellent,D,Heat Pump,No,Yes,0,29,AGT-212,Yes,-0.261468,51.699072
STP-20250106-007,Strutt Parker,06 Jan 2025,,Rental,Active,"236 Park Lane, Walthamstow, London E17 5J7",Walthamstow,Waltham Forest,E17 5J7,Penthouse,N/A,3,3,1378,6678,4.85,New Build,C,Heat Pump,No,No,1,35,AGT-519,Yes,-0.482961,51.684252
STP-20250106-008,Strutt Parker,06 Jan 2025,2025-06-29,Rental,Sold,"123 Station Road, Walthamstow, London E17 6A4",Walthamstow,Waltham Forest,E17 6A4,Maisonette,N/A,2,1,1342,3278,2.44,New Build,G,Electric,No,No,10,174,AGT-552,No,-0.04646,51.405846
STP-20250106-009,Strutt Parker,06 Jan 2025,2025-01-22,Rental,Let Agreed,"69 King Street, Notting Hill, London W11 8H9",Notting Hill,Kensington and Chelsea,W11 8H9,Maisonette,N/A,4,4,958,2632,2.75,Good,D,Underfloor,No,No,10,16,AGT-772,Yes,0.102711,51.633499
STP-20250106-010,Strutt Parker,06 Jan 2025,2025-03-20,Rental,Active,"2 Church Road, Battersea, London SW11 7E3",Battersea,Wandsworth,SW11 7E3,Bungalow,N/A,2,1,2863,3620,1.26,Good,A,Electric,No,Yes,0,73,AGT-622,Yes,-0.317422,51.595509
